Date,Rate,High (est),Low (est)
2000-04-26,258.106,261.09,255.15
2000-04-27,258.329,261.29,255.41
2000-04-28,258.425,261.36,255.53
2000-05-01,258.337,261.19,255.52
2000-05-02,258.375,0.0,0.0
2000-05-03,258.325,0.0,0.0
2000-05-04,258.318,0.0,0.0
2000-05-05,258.339,0.0,0.0
2000-05-08,258.318,261.41,255.26
2000-05-09,258.38,0.0,0.0
2000-05-10,258.443,0.0,0.0
2000-05-11,258.466,261.48,255.49
2000-05-12,258.624,261.85,255.43
2000-05-15,258.913,262.13,255.73
2000-05-16,258.871,262.01,255.77
2000-05-17,258.75,261.91,255.63
2000-05-18,258.876,261.9,255.89
2000-05-19,259.539,262.61,256.5
2000-05-22,259.724,0.0,0.0
2000-05-23,259.772,262.89,256.69
2000-05-24,259.85,262.78,256.95
2000-05-25,261.001,263.98,258.06
2000-05-26,265.165,268.34,262.03
2000-05-29,266.4,0.0,0.0
2000-05-30,266.433,0.0,0.0
2000-05-31,268.188,271.52,264.9
2000-06-01,267.927,270.92,264.97
2000-06-02,269.429,0.0,0.0
2000-06-05,271.602,274.77,268.47
2000-06-06,273.092,0.0,0.0
2000-06-07,275.112,0.0,0.0
2000-06-08,275.009,278.34,271.72
2000-06-09,273.83,277.12,270.58
2000-06-12,264.835,267.76,261.94
2000-06-13,259.788,0.0,0.0
2000-06-14,259.754,0.0,0.0
2000-06-15,259.81,0.0,0.0
2000-06-16,259.837,0.0,0.0
2000-06-19,259.808,262.84,256.82
2000-06-20,259.799,0.0,0.0
2000-06-21,259.877,0.0,0.0
2000-06-22,259.913,262.91,256.95
2000-06-23,259.874,262.76,257.02
2000-06-26,259.8,262.77,256.87
2000-06-27,259.948,0.0,0.0
2000-06-28,260.141,0.0,0.0
2000-06-29,260.253,263.37,257.17
2000-06-30,260.177,263.3,257.09
2000-07-03,260.046,263.06,257.07
2000-07-04,259.804,0.0,0.0
2000-07-05,259.641,262.67,256.65
2000-07-06,259.983,263.0,257.0
2000-07-07,260.202,263.23,257.2
2000-07-10,260.266,263.24,257.33
2000-07-11,260.24,0.0,0.0
2000-07-12,260.06,263.16,256.99
2000-07-13,260.113,263.13,257.13
2000-07-14,260.129,263.28,257.01
2000-07-17,259.99,262.92,257.09
2000-07-18,260.033,263.25,256.86
2000-07-19,260.151,263.38,256.96
2000-07-20,260.278,263.23,257.36
2000-07-21,260.336,263.42,257.29
2000-07-24,260.323,263.47,257.22
2000-07-25,260.26,263.48,257.08
2000-07-26,260.309,0.0,0.0
2000-07-27,260.422,263.52,257.36
2000-07-28,260.534,263.62,257.49
2000-07-31,260.549,263.57,257.56
2000-08-01,260.503,263.71,257.33
2000-08-02,260.087,0.0,0.0
2000-08-03,260.306,263.23,257.42
2000-08-04,260.49,263.56,257.46
2000-08-07,260.652,263.85,257.49
2000-08-08,260.697,0.0,0.0
2000-08-09,260.692,263.76,257.66
2000-08-10,260.734,0.0,0.0
2000-08-11,260.797,263.7,257.92
