,Date,Rate,High (est),Low (est),MA12,MA26,PCT_change,Signals
3012,2010-01-06,268.28952026367,270.07562255859,268.16592407227,270.3626047770175,272.8101372352004,-0.0036085751687253698,0
3013,2010-01-07,269.15036010742,270.42333984375,268.28350830078,270.05755360921165,272.62374525803693,0.003208622695750396,0
3014,2010-01-08,267.52749633789,269.3229675293,267.16809082031,269.68500010172505,272.3314103346596,-0.006029580524738343,0
3015,2010-01-10,266.73147583008,266.91259765625,265.98065185547,269.1976572672525,272.10518118051306,-0.0029754717504051342,0
3016,2010-01-11,266.73147583008,266.91259765625,265.98065185547,268.71031443278,271.8591871995185,0.0,0
3017,2010-01-12,267.4407043457,268.587890625,267.08166503906,268.31583913167333,271.60419874924804,0.0026589607147520233,0
3018,2010-01-13,266.58630371094,267.67202758789,265.7978515625,267.8577651977542,271.3163487361023,-0.0031947292273638572,0
3019,2010-01-14,266.3486328125,267.70220947266,265.95263671875,267.76774597168,270.8597998985873,-0.0008915345429663102,0
3020,2010-01-15,268.37728881836,268.53829956055,266.39691162109,267.7513707478842,270.5282874474154,0.007616543717301916,0
3021,2010-01-17,266.91351318359,267.95697021484,266.27960205078,267.6369959513342,270.1073350172769,-0.005454171033677513,0
3022,2010-01-18,266.91351318359,267.95697021484,266.27960205078,267.5226211547842,269.7499718299269,0.0,0
3023,2010-01-19,266.95513916016,267.8747253418,266.6301574707,267.33045196533163,269.45023874136035,0.00015595305038518248,0
3024,2010-01-20,270.73513793945,271.26095581055,266.98010253906,267.5342534383133,269.2958902212281,0.014159677881391941,0
3025,2010-01-21,271.63537597656,272.27062988281,270.09332275391,267.741338094075,269.22533475435614,0.003325161425153933,0
3026,2010-01-22,271.50857543945,272.20083618164,270.15258789062,268.0730946858717,269.1502403846146,-0.0004668042100707259,0
3027,2010-01-24,272.16256713867,272.82876586914,270.13101196289,268.52568562825417,269.12530165452154,0.0024087331244011523,0
3028,2010-01-25,272.16256713867,272.82876586914,270.13101196289,268.97827657063664,269.13162583571153,0.0,0
3029,2010-01-26,271.08474731445,272.8779296875,271.9951171875,269.2819468180325,269.0741318922769,-0.003960205973773112,0
3030,2010-01-27,272.41091918945,272.99075317383,270.28970336914,269.76733144124165,269.06764455941925,0.004892093296055888,0
3031,2010-01-28,271.87396240234,272.67910766602,271.1728515625,270.22777557372837,269.0560889610869,-0.0019711279882160815,0
3032,2010-01-29,270.87664794922,271.18197631836,270.46646118164,270.4360555013,269.0096834622889,-0.003668297045835156,0
3033,2010-01-31,269.27847290039,271.2825012207,269.13912963867,270.6331354777,269.08082228440423,-0.005900010432533076,0
3034,2010-02-01,269.27847290039,271.2825012207,269.13912963867,270.8302154541,269.1079254150381,0.0,0
3035,2010-02-02,269.90914916992,269.75375366211,269.47589111328,271.0763829549133,269.17035381610464,0.0023420968736824754,0
3036,2010-02-03,271.20953369141,271.23892211914,269.03765869141,271.11591593424333,269.28279700645925,0.004817860103998761,0
3037,2010-02-04,273.8268737793,274.08557128906,271.19635009766,271.2985407511383,269.4584010197558,0.00965061977086723,0
3038,2010-02-05,273.87515258789,274.57403564453,272.47485351562,271.49575551350836,269.67323303222577,0.00017631143329244203,0
3039,2010-02-07,273.62600708008,274.47402954102,272.66244506836,271.6177088419592,269.84537330040496,-0.0009097046791421981,0
3040,2010-02-08,273.62600708008,274.47402954102,272.66244506836,271.73966217041,270.0799314058738,0.0,0
3041,2010-02-09,270.45950317383,273.66049194336,270.21603393555,271.687558492025,270.22331707294114,-0.011572379175650793,0
3042,2010-02-10,271.10437011719,271.4660949707,269.77047729492,271.57867940267005,270.3915053147531,0.0023843382679940017,0
3043,2010-02-11,269.60595703125,271.51193237305,269.86450195312,271.3896789550792,270.4747842641973,-0.0055270709405838,0
3044,2010-02-12,271.06259155273,271.32476806641,269.55877685547,271.40517425537166,270.6469491811892,0.005402827658259612,0
